1	1	51.86	-0.00	-22.41	0.81	-0.00	-0.59
1	1	54.81	-11.30	-15.74	0.87	-0.18	-0.45
1	1	56.88	-15.10	-8.35	0.93	-0.25	-0.26
1	1	58.31	-14.08	-0.78	0.97	-0.23	-0.03
1	1	58.42	-13.68	-0.00	0.97	-0.23	0.00
1	2	38.80	-0.00	-35.58	0.61	-0.00	-0.79
1	2	41.33	-12.69	-31.90	0.64	-0.20	-0.74
1	2	44.00	-22.45	-25.54	0.68	-0.35	-0.64
1	2	46.28	-28.53	-18.63	0.73	-0.45	-0.51
1	2	48.29	-31.96	-11.29	0.78	-0.52	-0.34
1	2	49.95	-32.79	-3.84	0.83	-0.54	-0.13
1	2	50.66	-32.14	-0.00	0.84	-0.54	0.00
1	3	26.95	-0.00	-43.01	0.45	-0.00	-0.89
1	3	28.49	-8.85	-41.48	0.47	-0.14	-0.87
1	3	30.99	-20.11	-36.96	0.49	-0.32	-0.81
1	3	33.35	-28.61	-31.25	0.52	-0.44	-0.73
1	3	35.58	-35.08	-24.85	0.55	-0.54	-0.63
1	3	37.68	-39.77	-17.91	0.60	-0.63	-0.50
1	3	37.80	-40.00	-17.48	0.60	-0.63	-0.49
1	4	15.70	-0.00	-47.53	0.29	-0.00	-0.96
1	4	16.68	-6.10	-46.87	0.30	-0.11	-0.95
1	4	18.67	-16.29	-44.06	0.32	-0.28	-0.91
1	4	21.16	-26.61	-38.96	0.34	-0.43	-0.84
1	4	23.66	-35.15	-32.66	0.37	-0.55	-0.75
1	4	25.33	-40.00	-27.86	0.39	-0.62	-0.68
1	5	4.93	-0.00	-49.74	0.10	-0.00	-0.99
1	5	5.33	-2.71	-49.62	0.11	-0.06	-0.99
1	5	6.50	-9.68	-48.61	0.13	-0.19	-0.97
1	5	9.23	-22.72	-44.18	0.16	-0.39	-0.91
1	5	12.30	-34.44	-37.22	0.19	-0.54	-0.82
1	5	14.02	-40.00	-32.65	0.22	-0.62	-0.75
1	6	3.32	-40.00	-34.53	0.05	-0.62	-0.78
1	6	-0.16	-27.31	-42.83	-0.00	-0.45	-0.89
1	6	-3.28	-12.87	-48.21	-0.06	-0.24	-0.97
1	6	-4.70	-4.58	-49.54	-0.10	-0.09	-0.99
1	6	-5.21	-1.18	-49.70	-0.11	-0.02	-0.99
1	6	-5.37	0.00	-49.69	-0.11	-0.00	-0.99
1	7	-6.91	-40.00	-34.17	-0.11	-0.62	-0.77
1	7	-9.69	-29.71	-40.67	-0.16	-0.48	-0.86
1	7	-12.43	-17.26	-45.57	-0.22	-0.30	-0.93
1	7	-14.06	-8.20	-47.36	-0.26	-0.15	-0.95
1	7	-14.98	-2.03	-47.70	-0.28	-0.04	-0.96
1	7	-15.25	-0.00	-47.67	-0.28	-0.00	-0.96
1	8	-16.72	-40.00	-31.79	-0.26	-0.62	-0.74
1	8	-19.13	-30.96	-37.35	-0.30	-0.49	-0.82
1	8	-21.66	-19.49	-41.86	-0.36	-0.32	-0.88
1	8	-23.36	-10.04	-43.76	-0.39	-0.17	-0.90
1	8	-24.49	-2.43	-44.14	-0.42	-0.04	-0.91
1	8	-24.81	-0.00	-44.05	-0.42	-0.00	-0.91
1	9	-26.11	-40.00	-27.40	-0.40	-0.62	-0.67
1	9	-28.31	-31.80	-32.48	-0.44	-0.49	-0.75
1	9	-30.72	-20.89	-36.81	-0.48	-0.33	-0.81
1	9	-32.48	-11.09	-38.76	-0.52	-0.18	-0.84
1	9	-33.72	-2.62	-39.08	-0.54	-0.04	-0.84
1	9	-34.05	-0.00	-38.93	-0.54	-0.00	-0.84
1	10	-35.00	-40.00	-20.55	-0.55	-0.63	-0.55
1	10	-37.00	-32.87	-25.43	-0.57	-0.51	-0.64
1	10	-39.35	-22.60	-29.88	-0.61	-0.35	-0.71
1	10	-41.23	-12.29	-32.09	-0.64	-0.19	-0.75
1	10	-42.57	-3.08	-32.39	-0.66	-0.05	-0.75
1	10	-42.95	-0.00	-32.16	-0.67	-0.00	-0.75
1	11	-42.90	-40.00	-9.02	-0.70	-0.65	-0.28
1	11	-44.65	-35.02	-14.11	-0.72	-0.56	-0.41
